#f,f_err,vin,vin_err,vout,vout_err
12.046,0.001,24.40e-3,0.93e-3,74.4e-3,3.0e-3
49.899,0.001,25.00e-3,0.95e-3,80.0e-3,4.4e-3
121.61,0.01,24.60e-3,0.93e-3,79.2e-3,3.2e-3
492.2,0.1,24.60e-3,0.94e-3,92.8e-3,3.6e-3
809.68,0.01,24.60e-3,0.94e-3,113.4e-3,4.2e-3
1253.8,0.1,24.60e-3,0.94e-3,146.4e-3,5.2e-3
2043.7,0.1,24.60e-3,0.94e-3,214.0e-3,8.4e-3
5027.5,0.1,23.20e-3,0.90e-3,452e-3,18e-3
8156.5,0.1,21.60e-3,0.85e-3,640e-3,23e-3
10823,1,20.00e-3,0.80e-3,748e-3,26e-3
12960,1,18.80e-3,0.76e-3,800e-3,28e-3
13986,1,18.20e-3,0.75e-3,816e-3,32e-3
18313,1,17.00e-3,0.71e-3,864e-3,34e-3
30237,1,13.40e-3,0.60e-3,832e-3,33e-3
39060,1,12.24e-3,0.69e-3,768e-3,27e-3