freq	freq_err	Vin	Vin_err	Vout	Vout_err	deltat	deltat_err
30.56	0.01	20.4	0.8	0.266	0.010	0	0
51.25	0.01	20.6	0.8	0.452	0.018	5.04	0.19
92.89	0.01	20.6	0.8	0.816	0.032	2.82	0.10
132.88	0.01	20.6	0.8	1.168	0.043	0	0
180.75	0.01	20.6	0.8	1.540	0.066	0	0
251.54	0.01	20.6	0.8	2.140	0.084	1.104	0.041
334.0	0.1	20.6	0.8	2.82	0.10	0.824	0.033
409.8	0.1	20.6	0.8	3.46	0.12	0.688	0.029
508.52	0.1	20.2	0.8	4.28	0.17	0.564	0.021
604.4	0.1	20.4	0.8	5.00	0.19	0.488	0.019
718.2	0.1	20.2	0.8	5.84	0.22	0.416	0.016
850.6	0.1	20.2	0.8	6.76	0.24	0.360	0.015
1010	1	20.2	0.8	7.84	0.28	0.314	0.011
1226.4	0.1	20.0	0.8	9.12	0.35	0.270	0.010
1468.9	0.1	19.8	0.8	10.40	0.39	0.2320	0.0090
1743.8	0.1	19.8	0.8	11.68	0.43	0.2020	0.0081
2084.0	0.1	19.8	0.8	13.04	0.47	0.1760	0.0073
2480.0	0.1	19.6	0.8	14.08	0.50	0.1540	0.0066
2915.5	0.1	19.4	0.8	15.04	0.53	0.1344	0.0048
3463	1	19.4	0.8	16.00	0.68	0.1192	0.0044
4060	1	19.4	0.8	16.60	0.70	0.1032	0.0039
5000.0	0.1	19.2	0.8	17.40	0.72	0.0872	0.0034
6618	1	19.2	0.8	18.00	0.74	0.0680	0.0024
8119	1	19.2	0.8	18.20	0.75	0.0568	0.0021
10373	1	19.0	0.8	18.60	0.76	0.0456	0.0018
12151	1	19.0	0.8	18.60	0.76	0.0388	0.0014